,Title,Location,Company,Review,Summary
27,            Postdoctoral Epidemiologist / Data Scientist (f/m/d): Nutrit...,Bonn,        Deutsches Zentrum für Neurodegenerative Erkrankung...,,            Postdoctoral Epidemiologist / Data Scientist (f/m/d):. Within the area of Population Health Sciences in Bonn we are looking for a Postdoctoral Epidemiologist /...
28,            Senior Data Scientist (m/w/d),,        Michael Page,,            Aufgabengebiet * Entwicklung von mathematischen Modellen für Datenanalysen * Anfertigen von Scoring-Modellen * Erarbeiten verschiedener Konzepte für...
29,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
30,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
31,Data Scientist (m/w/d),,        etventure GmbH,,"            Mindestens 3 Jahre Berufserfahrung im Bereich Data Science, Advanced Data Analytics, Machine Learning oder Business Intelligence. Planung, Erstellung und Durchführung von Data Science Projekten...."
32,Data Scientist (w/m/d) Industrial IoT,,        Siemens AG,,            Sie verstärken am Fertigungsstandort in Berlin als Data Scientist Industrial IoT unser Team bei der Umsetzung unserer Digitalisierungsstrategie....
33,            Lead Data Scientist,,        bonify - Made by Forteil GmbH,,"            You have a good understanding of Data Privacy laws & Data Security or are keen to learn very fast about it. Working with our data, this include Data-cleaning, Data-Modelling and Data-processing...."
34,            Senior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,"            Mindestens zwei Jahre Berufserfahrung in einer anspruchsvollen Data Science Rolle, idealerweise im Kontext von Medizintechnik oder Health Care. Darüber hinaus sind Sie verantwortlich für die fachliche..."
35,            Research Scientist - Data Science team,Berlin,        Amazon Development Center DEU,,"            As a Data Scientist in our Applied Modeling and Data Science team, you will be responsible for data-driven improvements and evaluation for our spoken language understanding models...."
36,Data Scientist (m/w/d),Berlin,        auticon GmbH,,Data Scientist (m/w/d). Sie sind leidenschaftlicher Data Scientist und haben schon persönliche oder fachliche Erfahrung erworben. Voll-/Teilzeit....
37,Data Scientist (w/m/d) Industrial IoT,Berlin,        Siemens AG,,            Sie verstärken am Fertigungsstandort in Berlin als Data Scientist Industrial IoT unser Team bei der Umsetzung unserer Digitalisierungsstrategie....
38,Data Scientist (f/m) – location Berlin,Berlin-Kreuzberg,        Billie GmbH,,            You know how to build intuitive and effective data visualizations (ideally with ggplot2 and Tableau). As a Quant/Data Scientist at Billie you will work on extending and improving our capabilities that...
39,Data Scientist (m/w/d) (Berlin),Berlin,        caresyntax,,"            Experiment with provided medical datasets and label data. Solid background and proven track record in Data Science (either in academia or industry), preferably with a focus on machine vision...."
40,Data Scientist,Berlin,        Made for_,,"            As part of a small team at a young company, Made For\’s data scientists also work closely with engineering to guide the instrumentation of new events and data sources...."
41,Data Scientist,Berlin,        Industrial Analytics Berlin IAB GmbH,,            As a Data Scientist you will work with a team of experienced engineers and data scientists taking the challenge to change the world of machine monitoring....
42,            Junior Data Scientist (m/f/d),Berlin,        TeamViewer Global,,"            Work on important challenges & problems in the area of data analytics and data processing. Big Data experience is a plus. Realized projects in Data handling & Analysis projects, hands-on track record..."
43,Data Scientist (m/w/divers),Berlin,        RatePAY GmbH,,            Als Data Scientist (m/w/divers) bist du in unserem Risikomanagement Team für die Entwicklung von automatisierten Entscheidungssystemen zur Betrugsprävention....
44,Data Scientist (m/f/diverse),Berlin,        RatePAY GmbH,,            As Data Scientist (m/f/diverse) in our Risk Management team you are responsible for developing automated decision systems for fraud prevention. RatePAY is a Berlin-based company that puts its heart...
45,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product..."
46,            Junior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik fit für die Zukunft....
47,            Lead Data Scientist,,        bonify - Made by Forteil GmbH,,"            You have a good understanding of Data Privacy laws & Data Security or are keen to learn very fast about it. Working with our data, this include Data-cleaning,..."
