Title	Location	Company	Review	Summary
Data Scientist (m/w/d)	München	        alexanderthamm		            Für Berufseinsteiger haben wir ein deutschlandweit einzigartiges Data Science Trainee Programm sowie ein Data Engineering Trainee Programm entwickelt....
Data Scientist (m/w/d)	München	        iPAXX		            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)....
Data Scientist (m/w/d) - München	München	        IUBH Internationale Hochschule GmbH		            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
Data Scientist (m/w/d)	München	        Sky Deutschland		Data Scientist (m/w/d). 2-4 Jahre Berufserfahrung als Data Scientist / Analyst. Ausbau des Data Mining Methoden Portfolios des Analytics Team....
Data Scientist (m/w/d)	München	        The Retail Performance Company		Data Scientist (m/w/d). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B....
Data Scientist (m/w/d)	München	        SWMH Service GmbH		Data Scientist (m/w/d). Breites Interesse an prinzipiellen Data Science Fragestellungen und Entwicklungen:. Du verantwortest Algorithm Design und Prototyping...
Data Scientist	München	        JetBrains		            The JetBrains Marketing Research Team is looking for a Data Scientist. For our research, we use various internal/external data sources and statistical analysis....
Data Scientist (m/w/d) - Informatiker / Physiker / Mathemati...	Unterföhring	        Vodafone		Data Scientist (m/w/d) - Informatiker / Physiker / Mathematiker. Werde Teil unseres Network Analytics Data Science Teams und beschäftige Dich mit Big Data...
Data Scientist (m/w/d)	München	        Modis Contracting Solutions GmbH		Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
Data Scientist (w/m/d)	München	        E.ON Energie Deutschland		            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du...
Data Scientist (m/w/d)	München	        alexanderthamm		            Für Berufseinsteiger haben wir ein deutschlandweit einzigartiges Data Science Trainee Programm sowie ein Data Engineering Trainee Programm entwickelt....
Data Scientist (m/w/d)	München	        iPAXX		            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)....
Data Scientist (m/w/d) - München	München	        IUBH Internationale Hochschule GmbH		            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
Data Scientist (m/w/d)	München	        Sky Deutschland		Data Scientist (m/w/d). 2-4 Jahre Berufserfahrung als Data Scientist / Analyst. Ausbau des Data Mining Methoden Portfolios des Analytics Team....
Data Scientist (m/w/d)	München	        The Retail Performance Company		Data Scientist (m/w/d). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B....
Data Scientist (m/w/d)	München	        SWMH Service GmbH		Data Scientist (m/w/d). Breites Interesse an prinzipiellen Data Science Fragestellungen und Entwicklungen:. Du verantwortest Algorithm Design und Prototyping...
Data Scientist	München	        JetBrains		            The JetBrains Marketing Research Team is looking for a Data Scientist. For our research, we use various internal/external data sources and statistical analysis....
Data Scientist (m/w/d) - Informatiker / Physiker / Mathemati...	Unterföhring	        Vodafone		Data Scientist (m/w/d) - Informatiker / Physiker / Mathematiker. Werde Teil unseres Network Analytics Data Science Teams und beschäftige Dich mit Big Data...
Data Scientist (m/w/d)	München	        Modis Contracting Solutions GmbH		Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt. Du experimentierst mit neuen Vorgehensweisen und ermöglichst unseren Kunden...
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data Mining sowie geeignete Projekterfahrung...
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
Data Scientist (w/m/d)	München	        E.ON Energie Deutschland		            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du Verantwortung für unseren Marketing Tech Stack Du...
Data Scientist (m/w/d)	München	        alexanderthamm		            Für Berufseinsteiger haben wir ein deutschlandweit einzigartiges Data Science Trainee Programm sowie ein Data Engineering Trainee Programm entwickelt. Als stark wachsendes Data Science und KI Start Up...
Data Scientist (m/w/d)	München	        iPAXX		            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark). Für unser Team in München suchen wir Unterstützung!...
Data Scientist (m/w/d) - München	München	        IUBH Internationale Hochschule GmbH		            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche. Du verfügst über ein erfolgreich abgeschlossenes Hochschulstudium in Mathematik, Statistik,...
Data Scientist (m/w/d)	München	        Sky Deutschland		Data Scientist (m/w/d). 2-4 Jahre Berufserfahrung als Data Scientist / Analyst. Ausbau des Data Mining Methoden Portfolios des Analytics Team. Sky ist die neue Welt des Entertainments....
Data Scientist (m/w/d)	München	        The Retail Performance Company		Data Scientist (m/w/d). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B. Begleitung der prozessualen und organisatorischen...
Data Scientist (m/w/d)	München	        SWMH Service GmbH		Data Scientist (m/w/d). Breites Interesse an prinzipiellen Data Science Fragestellungen und Entwicklungen:. Du verantwortest Algorithm Design und Prototyping für verschiedenste Data Science Use-Cases:...
Data Scientist	München	        JetBrains		            The JetBrains Marketing Research Team is looking for a Data Scientist. For our research, we use various internal/external data sources and statistical analysis....
Data Scientist (m/w/d) - Informatiker / Physiker / Mathemati...	Unterföhring	        Vodafone		Data Scientist (m/w/d) - Informatiker / Physiker / Mathematiker. Werde Teil unseres Network Analytics Data Science Teams und beschäftige Dich mit Big Data Analytics zur Optimierung des Netzes von...
Data Scientist (m/w/d)	München	        Modis Contracting Solutions GmbH		Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019 einen Data Scientist (m/w/d)....
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product...
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw. In dieser Position sind Sie hauptverantwortlich für die konzeptionelle...
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting. Make a difference using your analytical skills to strengthen our...
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt. Du experimentierst mit neuen Vorgehensweisen und ermöglichst unseren Kunden...
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data Mining sowie geeignete Projekterfahrung...
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
Data Scientist (w/m/d)	München	        E.ON Energie Deutschland		            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du Verantwortung für unseren Marketing Tech Stack Du...
Data Scientist (m/w/d)	München	        alexanderthamm		            Für Berufseinsteiger haben wir ein deutschlandweit einzigartiges Data Science Trainee Programm sowie ein Data Engineering Trainee Programm entwickelt. Als stark wachsendes Data Science und KI Start Up...
Data Scientist (m/w/d)	München	        iPAXX		            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark). Für unser Team in München suchen wir Unterstützung!...
Data Scientist (m/w/d) - München	München	        IUBH Internationale Hochschule GmbH		            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche. Du verfügst über ein erfolgreich abgeschlossenes Hochschulstudium in Mathematik, Statistik,...
Data Scientist (m/w/d)	München	        Sky Deutschland		Data Scientist (m/w/d). 2-4 Jahre Berufserfahrung als Data Scientist / Analyst. Ausbau des Data Mining Methoden Portfolios des Analytics Team. Sky ist die neue Welt des Entertainments....
Data Scientist (m/w/d)	München	        The Retail Performance Company		Data Scientist (m/w/d). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B. Begleitung der prozessualen und organisatorischen...
Data Scientist (m/w/d)	München	        SWMH Service GmbH		Data Scientist (m/w/d). Breites Interesse an prinzipiellen Data Science Fragestellungen und Entwicklungen:. Du verantwortest Algorithm Design und Prototyping für verschiedenste Data Science Use-Cases:...
Data Scientist	München	        JetBrains		            The JetBrains Marketing Research Team is looking for a Data Scientist. For our research, we use various internal/external data sources and statistical analysis....
Data Scientist (m/w/d) - Informatiker / Physiker / Mathemati...	Unterföhring	        Vodafone		Data Scientist (m/w/d) - Informatiker / Physiker / Mathematiker. Werde Teil unseres Network Analytics Data Science Teams und beschäftige Dich mit Big Data Analytics zur Optimierung des Netzes von...
Data Scientist (m/w/d)	München	        Modis Contracting Solutions GmbH		Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019 einen Data Scientist (m/w/d)....
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product...
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw. In dieser Position sind Sie hauptverantwortlich für die konzeptionelle...
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting. Make a difference using your analytical skills to strengthen our...
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
Data Scientist (w/m/d)	München	        E.ON Energie Deutschland		            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du...
Data Scientist (m/w/d)	München	        alexanderthamm		            Für Berufseinsteiger haben wir ein deutschlandweit einzigartiges Data Science Trainee Programm sowie ein Data Engineering Trainee Programm entwickelt....
Data Scientist (m/w/d)	München	        iPAXX		            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)....
Data Scientist (m/w/d) - München	München	        IUBH Internationale Hochschule GmbH		            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
Data Scientist (m/w/d)	München	        Sky Deutschland		Data Scientist (m/w/d). 2-4 Jahre Berufserfahrung als Data Scientist / Analyst. Ausbau des Data Mining Methoden Portfolios des Analytics Team....
Data Scientist (m/w/d)	München	        The Retail Performance Company		Data Scientist (m/w/d). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B....
Data Scientist (m/w/d)	München	        SWMH Service GmbH		Data Scientist (m/w/d). Breites Interesse an prinzipiellen Data Science Fragestellungen und Entwicklungen:. Du verantwortest Algorithm Design und Prototyping...
Data Scientist	München	        JetBrains		            The JetBrains Marketing Research Team is looking for a Data Scientist. For our research, we use various internal/external data sources and statistical analysis....
Data Scientist (m/w/d) - Informatiker / Physiker / Mathemati...	Unterföhring	        Vodafone		Data Scientist (m/w/d) - Informatiker / Physiker / Mathematiker. Werde Teil unseres Network Analytics Data Science Teams und beschäftige Dich mit Big Data...
Data Scientist (m/w/d)	München	        Modis Contracting Solutions GmbH		Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
Data Scientist (w/m/d)	München	        E.ON Energie Deutschland		            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du...
Data Scientist (m/w/d)	München	        alexanderthamm		            Für Berufseinsteiger haben wir ein deutschlandweit einzigartiges Data Science Trainee Programm sowie ein Data Engineering Trainee Programm entwickelt....
Data Scientist (m/w/d)	München	        iPAXX		            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)....
Data Scientist (m/w/d) - München	München	        IUBH Internationale Hochschule GmbH		            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
Data Scientist (m/w/d)	München	        Sky Deutschland		Data Scientist (m/w/d). 2-4 Jahre Berufserfahrung als Data Scientist / Analyst. Ausbau des Data Mining Methoden Portfolios des Analytics Team....
Data Scientist (m/w/d)	München	        The Retail Performance Company		Data Scientist (m/w/d). Und/ oder Data Analytics Tools (z.B. Fundierte praktische Erfahrung in der Anwendung von Data Science-Lösungen z.B....
Data Scientist (m/w/d)	München	        SWMH Service GmbH		Data Scientist (m/w/d). Breites Interesse an prinzipiellen Data Science Fragestellungen und Entwicklungen:. Du verantwortest Algorithm Design und Prototyping...
Data Scientist	München	        JetBrains		            The JetBrains Marketing Research Team is looking for a Data Scientist. For our research, we use various internal/external data sources and statistical analysis....
Data Scientist (m/w/d) - Informatiker / Physiker / Mathemati...	Unterföhring	        Vodafone		Data Scientist (m/w/d) - Informatiker / Physiker / Mathematiker. Werde Teil unseres Network Analytics Data Science Teams und beschäftige Dich mit Big Data...
Data Scientist (m/w/d)	München	        Modis Contracting Solutions GmbH		Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
            Senior Data Scientist (w/m/d) – Köln		        EnBW Energie Baden-Württemberg AG		            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
Data Scientist (m/w/d)		        Control€xpert GmbH		Data Scientist (m/w/d). Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller...
            Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’...		        Universitätsklinikum Düsseldorf		            Analysis of genomic data. Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’ technology). Proven experience of analyzing genome-scale data sets in a...
            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...		        LIDL Stiftung & Co. KG		            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und...
Data Scientist – Rate Connect Bidding	Düsseldorf	        trivago		            Crunch and analyze data to discover new applicable insights. Experience with SQL and/or big data technologies (Hive, Impala etc.)....
Data Analyst/Scientist (m/w/d)	Düsseldorf	        Deutsche Apotheker- und Ärztebank eG		            Sie gestalten den Neuaufbau einer dynamischen Data Analytics Einheit in der apoBank gemeinsam mit 4 Kollegen (m/w/d)....
Data Scientist (f/m/d) Permanent contract, full-time, Düssel...	Düsseldorf	        real,- Digital Services GmbH		            As a data scientist, you drive the further development of the eFood online shop on the basis of data:. You have knowledge in generating insights from different...
            (Junior) Data Scientist (m/w/d) Fashion	Düsseldorf	        CHECK24 Vergleichsportal		            Ergebnisorientierte Nutzung von Data Mining Methoden und Algorithmen. Aufbau und Entwicklung von neuen Technologien im Bereich Data Science und Machine Learning...
            (Junior) Data Scientist (m/w/d)	Düsseldorf	        CGI Group, Inc.		            Kenntnisse in Big Data Technologien (z.B. Gute Kenntnisse in der Anwendung von Machine Learning, Optimierungs- und Data Mining-Methoden mit Hilfe von gängigen...
Data Scientist (m/w/d)	Düsseldorf	        Group M		Data Scientist (m/w/d). Als Data Scientist arbeitest Du in unserem Digital Hub an der Entwicklung innovativer Produkte, die unseren Kunden in ihrer Media...
            (Associate) Data Scientist (m/f/d)	Düsseldorf	        QIAGEN		            High confidence in handling structured and unstructured data sources in big data ecosystems (e.g. Experience in data visualization tools (e.g....
Data Scientist (m/w/d)	Düsseldorf	        MediaCom Agentur für Media-Beratung GmbH		            Anwendungserfahrungen in den Bereichen Data Mining und Machine Learning (Python:. WAS DU MITBRINGST....
Data Scientist (m/w/d)	Düsseldorf	        Publicis Media		Data und Technology, Analytics und Insights, Research, Content, Performance, Buying und Business Development....
Data Scientist (Big Data) (m/w/x)	Mülheim an der Ruhr	        ALDI SÜD		Data Scientist (Big Data) (m/w/x) (ID:33702). Umsetzung internationaler Projekte im Bereich Analytics, Big Data und Machine Learning....
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...		        LIDL Stiftung & Co. KG		            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und...
Data Scientist (m/w/d)		        Control€xpert GmbH		Data Scientist (m/w/d). Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
Data Scientist	Düsseldorf	        Flint Data		Data Science Consultant. Konzipieren und implementieren von Data Pipelines in Zusammenarbeit mit Data Engineers. Erfahrung im Bereich Data Science....
            Materials Scientist (gn)	Düsseldorf	        Japan Management		            Maintain detailed, accurate, legible records of all experiments, and graph all relevant trend data along with the appropriate controls and blanks....
Data Scientist (m/w/d)	Langenfeld	        Control€xpert GmbH		            Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller Künstlicher Intelligenz....
            Junior Data Scientist	Düsseldorf	        ORAYLIS GmbH Business Intelligence		            Als Data Scientist entwickelst du in enger Zusammenarbeit mit deinen erfahrenen Kollegen datengetriebene Lösungen, die das Geschäft unserer Kunden voranbringen....
Data Scientist (m/w/d)	Duisburg	        PKF FASSELT SCHLAGE		            Unterstützung unseres Data Lab Teams bei der Konzeption und Realisierung von datenbasierten Algorithmen und Analysetools für unsere Beratungsfelder....
Data Scientist (m/w/d) – Advanced Analytics	Düsseldorf	        McKinsey & Company		Data Scientist (m/w/d) – Advanced Analytics. In interdisziplinären Teams, bestehend aus Beratern, Experten und Data Scientists, bringen Sie Ihre Expertise ein....
Data-Scientist/ Modeller für die Revision (w/m/divers)	Mönchengladbach	        Santander		            Validierung und Replikation von Modellen zur Risikokontrolle und -quantifizierung: - Validierung der Entwicklung von Parameterschätzmethoden im Rahmen von...
            Werkstudent als Data Scientist im Data & Analytics Competenc...	Düsseldorf	        PwC		            Schwerpunkte - Du unterstützst uns im Data & Analytics Competence Center und wirkst bei der Weiterentwicklung der Data & Analytics-Produkte und -Services für...
Data Scientist Intern - Advanced Analytics	Düsseldorf	        McKinsey & Company		            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein....
Data Scientist - Advanced Analytics	Düsseldorf	        McKinsey & Company		            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein....
            Senior Analyst (w/m/d) Data Scientist		        ayonik		            Sie übernehmen Projekt- oder Teilprojektleitungen in Kundenprojekten. Aufgaben Sie verantworten je nach Projekt die Planung und Steuerung von Budget /...
            Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’...		        Universitätsklinikum Düsseldorf		            Analysis of genomic data. Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’ technology). Proven experience of analyzing genome-scale data sets in a...
            Senior Data Scientist (w/m/d) – Köln		        EnBW Energie Baden-Württemberg AG		            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...		        LIDL Stiftung & Co. KG		            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und präsentierst in regelmäßigen Abständen neue Ergebnisse vor Stakeholdern aus anderen...
Data Scientist (m/w/d)		        Control€xpert GmbH		Data Scientist (m/w/d). Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller Künstlicher Intelligenz. Vollzeit | Marie-Curie-Straße 3, 40764 Langenfeld (Rheinland),...
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product development teams in our Frankfurt office...
Data Scientist	Düsseldorf	        Flint Data		Data Science Consultant. Konzipieren und implementieren von Data Pipelines in Zusammenarbeit mit Data Engineers. Erfahrung im Bereich Data Science. Fähigkeit, Mehrwert aus Data Science zu genieren....
            Materials Scientist (gn)	Düsseldorf	        Japan Management		            Maintain detailed, accurate, legible records of all experiments, and graph all relevant trend data along with the appropriate controls and blanks. Lead R&D efforts in the design and development of high performance surface modification...
Data Scientist (m/w/d)	Langenfeld	        Control€xpert GmbH		            Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller Künstlicher Intelligenz. Wir digitalisieren und beschleunigen manuelle Vorgänge im Kfz-Bereich....
            Junior Data Scientist	Düsseldorf	        ORAYLIS GmbH Business Intelligence		            Als Data Scientist entwickelst du in enger Zusammenarbeit mit deinen erfahrenen Kollegen datengetriebene Lösungen, die das Geschäft unserer Kunden voranbringen. Die Arbeit mit externen Datenquellen (Open Data) und die daraus resultierenden...
Data Scientist (m/w/d)	Duisburg	        PKF FASSELT SCHLAGE		            Unterstützung unseres Data Lab Teams bei der Konzeption und Realisierung von datenbasierten Algorithmen und Analysetools für unsere Beratungsfelder. Mitwirkungen bei Kundenprojekten im Zusammenhang mit der Erstellung von komplexen...
Data Scientist (m/w/d) – Advanced Analytics	Düsseldorf	        McKinsey & Company		Data Scientist (m/w/d) – Advanced Analytics. In interdisziplinären Teams, bestehend aus Beratern, Experten und Data Scientists, bringen Sie Ihre Expertise ein. Sie werden Teil unseres sehr engagierten und kollaborativen Advanced-Analytics...
Data-Scientist/ Modeller für die Revision (w/m/divers)	Mönchengladbach	        Santander		            Validierung und Replikation von Modellen zur Risikokontrolle und -quantifizierung: - Validierung der Entwicklung von Parameterschätzmethoden im Rahmen von Provisions- und/oder Kapitalberechnungen. - Backtesting und ggf. Stresstests der...
            Werkstudent als Data Scientist im Data & Analytics Competenc...	Düsseldorf	        PwC		            Schwerpunkte - Du unterstützst uns im Data & Analytics Competence Center und wirkst bei der Weiterentwicklung der Data & Analytics-Produkte und -Services für PwC mit und unterstützst unsere User bei der Nutzung unserer Dienste....
Data Scientist Intern - Advanced Analytics	Düsseldorf	        McKinsey & Company		            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein. Mindestens Bachelorabschluss im Bereich (Wirtschafts-)Mathematik, Statistik, Machine Learning, Physik, Operations...
