,Title,Location,Company,Review,Summary,City,State,State Initials
28,"            Intern, Data Science","New York, NY 10017 (Midtown area)",        Pfizer Inc.,,"            Backend data and software engineering to build scalable solutions/algorithms, data pipelines, and helping to automate data processing challenges....",New York, NY 10017 (Midtown area), NY
29,            2019 University Graduate - Data Scientist - UberEverything (...,"New York, NY 10018 (Clinton area)",        Uber,,"            To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",New York, NY 10018 (Clinton area), NY
30,Data Scientist,"New York, NY 10016 (Gramercy area)",        AETNA,,            Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....,New York, NY 10016 (Gramercy area), NY
31,            FGP Patient Care Asst (37.5),"New York, NY",        NYU Langone,,"            Assists in data collection and activities as assigned. For 175 years, NYU School of Medicine has trained thousands of physicians and scientists who have helped...",New York, NY, NY
32,Data Scientist,"New York, NY",        New York University,,            The Public Safety Lab at New York University is looking for a full-time data scientist to build and. Create and provide a data....,New York, NY, NY
33,Data Scientist Intern,"Rome, NY 13441",        Booz Allen Hamilton,,"Data Scientist Intern. Knowledge of standard research techniques, statistical analysis, and data compilation....",Rome, NY 13441, NY
34,"Data Scientist, RPSG","New York, NY",        New York City Department of Education .,,            The Data Scientist will be responsible for determining metrics and designing models at a Central-level to support DOE decision-making in a manner that improves...,New York, NY, NY
35,            RMBS Data Scientist,"New York, NY",        London Stock Exchange Group,,"            Reporting to the Director – Head of Mortgage Research, the RMBS Data Scientist is a junior to mid-level role responsible for analysis of mortgage collateral...",New York, NY, NY
36,            2019 University Graduate - Data Scientist - UberEverything (...,"New York, NY 10018 (Clinton area)",        Uber,,"            To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",New York, NY 10018 (Clinton area), NY
37,Data Scientist,"New York, NY",        Downtown Music Publishing,,            2+ years professional data analysis or data science experience or equivalent. Downtown is looking to hire a Data Scientist to join our New York office....,New York, NY, NY
38,Data Scientist,"New York, NY","        Starz Entertainment, LLC",,"            The Data Scientist will have experience with a variety of data wrangling tools, modeling paradigms, optimization algorithms and simulation methodologies....",New York, NY, NY
39,Scientist,"Upton, NY 11973",        Brookhaven National Laboratory,,"            With over 125 PB of archived data, we host the largest scientific data archive in the US and the 3rd largest worldwide....",Upton, NY 11973, NY
40,Data Scientist,"Boston, MA 02298 (Central area)",        Massachusetts General Hospital,,            We are looking for data scientists with good background in math/computer science/engineering/statistics to design and implement new data exploration techniques for real healthcare environments....,Boston, MA 02298 (Central area), MA
41,Data Analyst,"Boston, MA",        Asics Digital,,"            This individual will work with a team of Analysts and Data Scientists responsible for delivering advanced analytics solutions and business intelligence. The analyst will work with key stakeholders to understand their data needs, analyze the...",Boston, MA, MA
42,            Junior Data Scientist,"Boston, MA",        PIÑATA SCIENCES,,            Pinata Scienes is looking for an up and coming Data Scientist. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients....,Boston, MA, MA
43,Data Governance Co-ops,"Boston, MA",        Bose,,"Data scientist, reporting analytics, data security and privacy highly relies on the data governance framework. Provide support to Data Stewards and data quality analyst to implement data governance framework....",Boston, MA, MA
44,            Advanced Analytics Intern (May - August 2019),"Boston, MA 02116 (South End area)",        Manulife,,"            Work with Data Scientists to transform business requests into value add deliverables including data mapping, data aggregation, data cleansing & other data-related processes. Support researching data structure and/or data content issues and...",Boston, MA 02116 (South End area), MA
45,            Battery Scientist,"Boston, MA",        Physical Sciences Inc.,,"            The individual will be involved in day-to-day hands-on laboratory experimentation, data collection, and analysis. Collect, analyze and present data and findings in informal and formal reports....",Boston, MA, MA
46,            Associate Data Scientist,"Cambridge, MA 02142 (East Cambridge area)",        Biogen,,"            Biogen is looking for a Associate Data Scientist to join our Data Science team in the Global Data and Analytics Center of Excellence within our commercial operations. As a member of the Data Science team, you will be tasked with weaving...",Cambridge, MA 02142 (East Cambridge area), MA
47,Data Scientist (2019 Summer Intern),"Boston, MA 02210 (South Boston area)",        Rifiniti,,"            Our data scientists work closely with our software engineers as well as a growing ecosystem of business partners and customers to build leading edge technologies in big data, machine learning, real time intelligence that scale the business....",Boston, MA 02210 (South Boston area), MA
48,            Astrophysicist,"Cambridge, MA",        U.S. Federal Government,,            Participate in scientific meetings and conferences in order to discuss current research with other scientists. Skills in techniques used to determine the thermal properties of coronal plasmas using data from a variety of solar instruments....,Cambridge, MA, MA
49,Scientist I,"Bedford, MA 01730",        Instrumentation Laboratory,,"            Obtains data and reduces by necessary calculations; Founded in 1959, Instrumentation Laboratory (IL) is a global leader in the development, manufacturing and distribution of diagnostic solutions for Acute Care Diagnostics, patient blood...",Bedford, MA 01730, MA
50,Data Scientist (2019 Summer Intern),"Boston, MA 02210 (South Boston area)",        Rifiniti,,"            Our data scientists work closely with our software engineers as well as a growing ecosystem of business partners and customers to build leading edge technologies in big data, machine learning, real...",Boston, MA 02210 (South Boston area), MA
51,Data Wrangler (Data Management Analyst),"Boston, MA",        Bose,,"            Gather data sets requirements from data analysts, data scientists and data stewards, design and deliver datasets from various databases platforms and data files formats....",Boston, MA, MA
52,Data Scientist Intern,"Boston, MA",        KAYAK,,"            KAYAK is looking for people who love working with data - parsing, analyzing, investigating, interpreting, modeling, and extracting knowledge from large volumes of data....",Boston, MA, MA
53,Data Scientist - Summer Intern - University Students,"Boston, MA",        McKinsey & Company,,"            You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets....",Boston, MA, MA
54,            Senior Data Scientist,"Needham, MA 02494",        TripAdvisor,,"            Proficiency in data transformation, cleansing and interpretation. A results-oriented person who thrives on data and measurements. Expert SQL skills and experience with Big Data stack (Hadoop/Hive/Pig...",Needham, MA 02494, MA
55,Data Scientist,"Boston, MA",        Adobe,,"            Familiarity with big data platforms such as Hadoop. Understand, monitor, QA and collaborate with business stakeholders to ensure on-going data quality....",Boston, MA, MA
56,Data Scientist – Data Connector,"Cambridge, MA",        Novartis,,            The amount of time the average data scientist spends preparing data. If you are a versatile data scientist who enjoys casting problems into generic computational solutions to catalyze efficiencies in...,Cambridge, MA, MA
57,Data Engineer,"Boston, MA 02116 (South End area)",        Manulife,,"            Experience developing data integrations for data ingestion, data mapping and data processing capabilities. Partnering with data scientist to understand business objective and applying deep...",Boston, MA 02116 (South End area), MA
58,Data Scientist,"Boston, MA","        Press Ganey Associates, Inc.",,"            We have an opening for a data geek (statistician, data scientist, economist, etc.). Press Ganey - a mission driven healthcare data and services company - is looking for an energetic, creative and...",Boston, MA, MA
59,            Associate Data Scientist,"Cambridge, MA 02142 (East Cambridge area)",        Biogen,,            Biogen is looking for a Associate Data Scientist to join our Data Science team in the Global Data and Analytics Center of Excellence within our commercial operations....,Cambridge, MA 02142 (East Cambridge area), MA
